,race_id,goal_order,start_number,horse_name,horse_age,weight,jockey_id,single_odds,hourse_weight,weight_change,multi_odds
1706,202201010104,3,16,ラミアヴィータ,-0.3712348946887113,-0.18229082941864605,5243,-0.6252150141120356,-0.8102932533214803,-0.24170990967613754,-0.5465449346319436
1707,202201010104,4,7,スターザサンライズ,-0.3712348946887113,-0.18229082941864605,1140,-0.64653553318583,-1.1464721717796669,-1.8178267172223972,-0.5698626406731718
1708,202201010104,5,3,リゾルテッツァ,-0.3712348946887113,-0.18229082941864605,1186,0.0037402985648981777,0.7361297715861778,-0.24170990967613754,0.1442421068394422
1709,202201010104,6,5,クインズプリーズ,-0.3712348946887113,-0.18229082941864605,1144,0.015585031383672825,-0.944764820704755,-0.5569332711853895,0.21710993821828034
1710,202201010104,7,9,ベルベリス,-0.3712348946887113,-0.18229082941864605,1115,-0.5434863576624905,-0.5413501185549311,-0.8721566326946413,-0.47950652976341246
1711,202201010104,8,2,ゼフィアス,-0.3712348946887113,-1.6977794074535777,1194,4.246523594249977,-0.944764820704755,1.3344068978701222,4.271476076136836
1712,202201010104,9,6,キューランブラー,-0.3712348946887113,-1.6977794074535777,1202,-0.5529621439175102,-1.0792363880880296,-1.1873799942038932,-0.4416152574464166
1713,202201010104,10,12,ピースキーパー,-0.3712348946887113,-0.18229082941864605,1095,-0.6358752736489328,-1.0120006043963923,-0.24170990967613754,-0.5640332141628647
1714,202201010104,11,1,ショウナンラブリー,-0.3712348946887113,-0.18229082941864605,5203,-0.4818937470048623,-1.81883000869604,-1.1873799942038932,-0.33377086700573616
1715,202201010104,12,8,デルマゴモリー,-0.3712348946887113,-1.6977794074535777,1177,-0.3113295944145074,-1.81883000869604,-1.1873799942038932,-0.26673246213720503
1716,202201010104,13,14,ナンヨーリリー,-0.3712348946887113,-0.18229082941864605,1178,0.6184819318593024,-1.8860657923876774,-1.1873799942038932,0.7738201699526039
1717,202201010104,14,10,テンシ,-0.3712348946887113,-0.18229082941864605,1091,0.8814350004360998,-1.5498868739294906,2.5953003439071294,0.9195558327102803
1718,202201010104,15,13,デルマカミーラ,-0.3712348946887113,-1.6977794074535777,1192,-0.6050789683201188,0.1982435020530793,-0.8721566326946413,-0.47950652976341246
1719,202201010104,16,15,ラファエーレ,-0.3712348946887113,0.3228720299263311,1182,-0.011657854099508832,0.5344224205112659,-0.5569332711853895,0.18504809241159162
1720,202201010105,1,8,ミラーオブマインド,-1.1502548377903121,-0.18229082941864605,1140,-0.5754671362731821,0.0637719346698047,0.0735134518331144,-0.4999095225494871
1721,202201010105,2,4,エコロドゥネス,-1.1502548377903121,-0.18229082941864605,1170,-0.661933685850237,0.4671866368196286,0.0735134518331144,-0.5960950599695536
1722,202201010105,3,12,アッチャゴーラ,-1.1502548377903121,-0.18229082941864605,1178,-0.21064936545492288,0.3999508531279912,0.0735134518331144,-0.2230117633099021
